"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "PostCSS", "TypeScript JSX", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\services\api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\services\authService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\services\eventService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\services\otpService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\services\qrService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\services\registrationService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\styles\components.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\styles\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\types\api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\types\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\types\events.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\types\registration.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\utils\camera.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\utils\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\utils\eventMapper.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 44
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\utils\formatters.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\utils\qr.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\utils\storage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\utils\validation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 2, 0, 99
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\tsconfig.app.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\tsconfig.node.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\vite.config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Ethan\online-barangay-registration\package-lock.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Ethan\online-barangay-registration\package.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 3057, 36, 15304, 147, 65, 3953, 60, 2, 13, 573, 1098, 24308
